"","onset","terminus","from","to","weight"
"161",5,6,3,4,6.64741848662399
"162",6,7,3,4,3.01934427930365
"163",7,8,3,4,1.33554007140926
"164",1,2,3,5,1.11928800341561
"165",2,3,3,5,0.612330334
"166",3,4,3,5,6.157960226
"167",4,5,3,5,18.247508405
"168",5,6,3,5,14.2066893439406
"169",6,7,3,5,4.37594977661574
"170",7,8,3,5,3.68561976801568
"171",1,2,3,6,0.601058373873131
"172",2,3,3,6,1.00861599
"173",3,4,3,6,1.547192357
"174",4,5,3,6,6.733859952
"175",5,6,3,6,2.75189242849705
"176",6,7,3,6,2.1993416099299
"177",7,8,3,6,0.554916484531083
"178",1,2,3,7,14.9057629115973
"179",2,3,3,7,22.643272688
"180",3,4,3,7,48.506649543
"181",4,5,3,7,119.490903596
"182",5,6,3,7,59.2111557136203
"183",6,7,3,7,10.8867953806472
"184",7,8,3,7,37.1036830833723
"185",1,2,3,8,2.6246168853817
"186",2,3,3,8,1.330848144
"187",3,4,3,8,3.242393345
"188",4,5,3,8,6.139210887
"189",5,6,3,8,5.65950169090647
"190",7,8,3,8,2.13095019768003
"191",1,2,3,9,10.4534561727485
"192",2,3,3,9,4.59331667
"193",3,4,3,9,11.921633486
"194",4,5,3,9,9.213878769
"195",5,6,3,9,14.4552548104987
"196",6,7,3,9,5.30579840708154
"197",7,8,3,9,11.711248852522
"200",4,5,3,10,9.062399177
"201",5,6,3,10,18.6427788232029
"202",6,7,3,10,6.20803060755036
"203",7,8,3,10,4.33473306496868
"205",4,5,3,11,26.466548395
"206",5,6,3,11,28.3663335899284
"207",6,7,3,11,6.0698829817519
"208",7,8,3,11,7.84691782185418
"209",1,2,4,1,2.15996814011057
"210",2,3,4,1,4.56548829
"211",3,4,4,1,8.860191411
"212",4,5,4,1,2.775632481
"213",5,6,4,1,3.8713208858274
"214",6,7,4,1,3.54912231831564
"215",7,8,4,1,0.832985422520547
"216",1,2,4,2,2.70592923702949
"217",2,3,4,2,1.257396221
"218",3,4,4,2,2.056040605
"219",4,5,4,2,1.170228811
"220",5,6,4,2,10.4850864053036
"221",6,7,4,2,1.4103703941853
"222",1,2,4,3,12.7702409259931
"223",2,3,4,3,14.916915441
"224",3,4,4,3,7.587649234
"225",4,5,4,3,7.972167976
"226",5,6,4,3,11.442424026395
"227",6,7,4,3,11.0431268547798
"228",7,8,4,3,0.63724831725082
"229",1,2,4,4,139.86292824346
"230",2,3,4,4,84.918580858
"231",3,4,4,4,110.18491314
"232",4,5,4,4,133.211095257
"233",5,6,4,4,201.117588227502
"234",6,7,4,4,116.18991394362
"235",7,8,4,4,67.1954939418562
"236",1,2,4,5,0.94800637192828
"237",2,3,4,5,1.113938737
"238",3,4,4,5,4.810214171
"239",4,5,4,5,10.322439261
"240",5,6,4,5,1.99558623630846
"241",7,8,4,5,9.14021278608409
"242",1,2,4,6,0.575183701781558
"243",3,4,4,6,3.276853064
"244",5,6,4,6,0.926075545992044
"245",1,2,4,7,5.53957900190913
"246",2,3,4,7,5.279418704
"247",3,4,4,7,33.026835451
"248",4,5,4,7,19.420034341
"249",5,6,4,7,2.43309616491947
"250",6,7,4,7,4.24323568323984
"251",7,8,4,7,10.5786316812773
"252",1,2,4,8,2.81288210924349
"253",2,3,4,8,1.971271551
"254",3,4,4,8,0.818946959
"255",4,5,4,8,0.623908096
"256",1,2,4,9,15.7292486518221
"257",2,3,4,9,2.330684811
"258",3,4,4,9,4.018808207
"259",4,5,4,9,2.221338417
"260",6,7,4,9,2.94601479503815
"261",7,8,4,9,1.05082967039763
"264",4,5,4,10,0.341970202
"265",6,7,4,10,0.286425544003999
"266",7,8,4,10,2.81515321682122
"268",4,5,4,11,1.318313587
"269",5,6,4,11,1.17704598157564
"270",6,7,4,11,1.33025747444495
"271",1,2,5,1,5.02792769437916
"272",2,3,5,1,6.40653176
"273",3,4,5,1,16.163277354
"274",4,5,5,1,9.317025582
"275",5,6,5,1,32.968352715453
"276",6,7,5,1,21.4603066200519
"277",7,8,5,1,10.7098134191429
"278",2,3,5,2,0.276694984
"279",4,5,5,2,1.264161613
"280",5,6,5,2,3.34291753709543
"281",6,7,5,2,0.321298178161051
"282",1,2,5,3,3.01149882128781
"283",2,3,5,3,2.320676752
"284",3,4,5,3,3.55113531
"285",4,5,5,3,2.774223419
"286",5,6,5,3,11.6390239615898
"287",6,7,5,3,14.4902379494331
"288",7,8,5,3,8.17762968478541
"289",1,2,5,4,0.276508968210366
"290",2,3,5,4,1.588532287
"291",3,4,5,4,1.203974174
"292",5,6,5,4,3.14595448765885
"293",6,7,5,4,2.11065052912092
"294",1,2,5,5,170.782296265944
"295",2,3,5,5,108.283411364
"296",3,4,5,5,177.137454116
"297",4,5,5,5,205.052825768
"298",5,6,5,5,557.130118025477
"299",6,7,5,5,247.258156897122
"300",7,8,5,5,131.63007303129
"301",1,2,5,6,3.69788658901035
"302",2,3,5,6,8.300573696
"303",3,4,5,6,12.665104695
"304",4,5,5,6,10.408271194
"305",5,6,5,6,13.6775535574232
"306",6,7,5,6,4.15348749933826
"307",7,8,5,6,3.24859798662052
"308",1,2,5,7,7.69934699121613
"309",2,3,5,7,0.60856909
"310",3,4,5,7,3.065656078
"311",4,5,5,7,5.009331046
"312",5,6,5,7,5.69930565428832
"313",6,7,5,7,5.22527937814041
"314",7,8,5,7,6.36209442121393
"315",1,2,5,8,21.6224660399365
"316",2,3,5,8,14.928751455
"317",3,4,5,8,8.219587908
"318",4,5,5,8,25.524128272
"319",5,6,5,8,63.164365034853
"320",6,7,5,8,15.8968164576281
"321",7,8,5,8,24.7618695414937
"322",1,2,5,9,5.55078700078075
"323",2,3,5,9,5.485731734
"324",3,4,5,9,2.998336038
"325",4,5,5,9,3.248072302
"326",5,6,5,9,16.0219413835463
"327",6,7,5,9,7.32450656384948
"328",7,8,5,9,1.37482072551925
"329",4,5,5,10,1.461047209
"330",5,6,5,10,3.96894288992295
"331",7,8,5,10,0.684244468381063
"333",4,5,5,11,2.123342324
"334",5,6,5,11,18.9952320813154
"335",6,7,5,11,3.26418565030971
"336",7,8,5,11,16.3773071992708
"337",1,2,6,1,5.6927137816243
"338",2,3,6,1,3.135641239
"339",3,4,6,1,13.780708622
"340",4,5,6,1,7.895301305
"341",5,6,6,1,21.9782197212814
"342",6,7,6,1,25.6137426850287
"343",7,8,6,1,4.67536684812698
"344",4,5,6,2,2.534014472
"345",5,6,6,2,7.17664973566362
"346",6,7,6,2,1.4144462095297
"347",3,4,6,3,0.259087375
"348",4,5,6,3,0.612197329
"349",5,6,6,3,3.70614393314936
"350",6,7,6,3,1.04042522133841
"351",1,2,6,4,3.49897712744625
"352",2,3,6,4,1.237820154
"353",6,7,6,4,0.9012134807439
"354",1,2,6,5,3.54267280559944
"355",2,3,6,5,7.696905589
"356",3,4,6,5,15.281206329
"357",4,5,6,5,11.379238293
"358",5,6,6,5,17.2220604304641
"359",6,7,6,5,6.27361852470256
"360",7,8,6,5,3.34834022343477
"361",1,2,6,6,125.585195896237
"362",2,3,6,6,118.560757675
"363",3,4,6,6,175.322497296
"364",4,5,6,6,231.78012873
"365",5,6,6,6,464.963848899421
"366",6,7,6,6,250.2540568664
"367",7,8,6,6,133.318369983118
"368",1,2,6,7,1.17624207565469
"369",2,3,6,7,6.234176146
"370",3,4,6,7,10.791172278
"371",4,5,6,7,16.41541104
"372",5,6,6,7,30.5230172087736
"373",6,7,6,7,3.45424523168583
"374",7,8,6,7,5.63075384551369
"375",1,2,6,8,14.3876782839768
"376",2,3,6,8,10.535242909
"377",3,4,6,8,23.482678254
"378",4,5,6,8,28.948064002
"379",5,6,6,8,44.4391166912237
"380",6,7,6,8,11.1128876536333
"381",7,8,6,8,21.6030094248701
"382",1,2,6,9,2.36731537786445
"383",2,3,6,9,0.612330334
"384",3,4,6,9,8.295435542
"385",5,6,6,9,8.09868753027144
"386",7,8,6,9,1.10983296906217
"388",4,5,6,10,0.706201764
"389",5,6,6,10,1.11581366081046
"390",6,7,6,10,0.734224425468553
"391",7,8,6,10,0.882036956247336
"393",4,5,6,11,9.317446946
"394",5,6,6,11,4.30860974518418
"395",6,7,6,11,6.71372333988815
